City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hotan,37.0997,79.9269,64.54,41,100,18.05,CN,1695257172
1,ust-nera,64.5667,143.2,31.66,79,100,9.95,RU,1695257172
2,iqaluit,63.7506,-68.5145,29.93,100,100,2.3,CA,1695257046
3,le mee-sur-seine,48.5316,2.6283,68.18,78,75,14.97,FR,1695257172
4,longyearbyen,78.2186,15.6401,28.24,80,20,2.3,SJ,1695257095
5,waitangi,-43.9535,-176.5597,57.81,88,38,5.99,NZ,1695257173
6,yellowknife,62.456,-114.3525,54.41,70,75,6.91,CA,1695257082
7,adamstown,-25.066,-130.1015,70.18,88,38,11.83,PN,1695257173
8,wailua homesteads,22.0669,-159.378,84.99,67,40,16.11,US,1695257173
9,avarua,-21.2078,-159.775,73.45,56,100,8.05,CK,1695257143
10,ciudad constitucion,25.0369,-111.6644,83.17,44,0,14.16,MX,1695257173
11,edinburgh of the seven seas,-37.0676,-12.3116,52.32,63,100,22.35,SH,1695257173
12,tehri,30.3833,78.4833,69.4,94,13,3.8,IN,1695257174
13,lihue,21.9789,-159.3672,85.59,66,40,16.11,US,1695257174
14,grytviken,-54.2811,-36.5092,26.51,79,59,10.89,GS,1695257174
15,san antonio de pale,-1.4014,5.6325,76.3,81,97,12.82,GQ,1695257174
16,santa cruz,-17.8,-63.1667,78.26,83,2,9.22,BO,1695257174
17,contai,21.7786,87.7536,80.38,89,100,8.03,IN,1695257175
18,lebu,-37.6167,-73.65,49.03,85,100,6.91,CL,1695257175
19,albany,42.6001,-73.9662,57.88,78,0,6.31,US,1695256917
20,bethel,41.3712,-73.414,62.94,82,0,4.61,US,1695257175
21,vuktyl,63.8567,57.3094,58.32,76,100,18.95,RU,1695257175
22,as sulayyil,20.4607,45.5779,84.45,23,100,9.31,SA,1695257175
23,arraial do cabo,-22.9661,-42.0278,70.39,88,2,21.07,BR,1695257175
24,port-aux-francais,-49.35,70.2167,31.8,66,100,39.62,TF,1695257176
25,west island,-12.1568,96.8225,78.78,73,40,12.66,CC,1695257176
26,iskateley,67.6803,53.1512,48.33,91,100,19.93,RU,1695257176
27,khuldabad,20.05,75.1833,70.48,92,99,4.27,IN,1695257176
28,mount isa,-20.7333,139.5,89.37,17,43,3.44,AU,1695257176
29,port lincoln,-34.7333,135.8667,60.01,60,17,8.57,AU,1695257176
30,quzhou,28.9594,118.8686,77.07,91,100,7.27,CN,1695257176
31,lupane,-18.9315,27.807,66.4,32,0,4.76,ZW,1695257178
32,gereshk,31.8209,64.5701,66.72,24,0,6.8,AF,1695257178
33,agat village,13.3886,144.6585,87.37,85,40,10.36,GU,1695257178
34,olonkinbyen,70.9221,-8.7187,37.08,68,76,12.68,SJ,1695257178
35,christchurch,-43.5333,172.6333,71.8,33,100,25.32,NZ,1695257153
36,kingston,17.997,-76.7936,85.15,86,20,6.91,JM,1695257029
37,cody,44.5263,-109.0565,62.82,36,100,12.66,US,1695256965
38,malango,-2.9627,119.9001,76.46,67,17,3.13,ID,1695257184
39,stanley,54.868,-1.6985,48.79,90,20,4.61,GB,1695257184
40,i-n-salah,27.1935,2.4607,91.27,13,0,9.08,DZ,1695257184
41,ushuaia,-54.8,-68.3,33.46,93,100,16.11,AR,1695257184
42,gwanda,-20.9333,29.0,67.37,34,23,5.88,ZW,1695257185
43,cill airne,52.05,-9.5167,47.55,95,100,1.97,IE,1695257185
44,khash,28.2211,61.2158,67.12,27,69,5.59,IR,1695257185
45,kruisfontein,-34.0033,24.7314,49.89,85,0,4.74,ZA,1695257185
46,portland,45.5234,-122.6762,69.37,52,32,5.99,US,1695257185
47,isafjordur,66.0755,-23.124,42.75,74,91,14.5,IS,1695257188
48,ambovombe,-25.1667,46.0833,67.69,72,0,5.73,MG,1695257192
49,jhang sadr,31.2715,72.3284,83.32,62,5,5.97,PK,1695257197
50,miranda,3.2499,-76.2281,77.13,75,7,6.22,CO,1695257199
51,bredasdorp,-34.5322,20.0403,49.77,76,1,6.64,ZA,1695257199
52,nguigmi,14.2495,13.1092,86.16,40,11,0.76,NE,1695257199
53,georgetown,5.4112,100.3354,80.94,100,40,3.44,MY,1695257119
54,shanwei,22.782,115.3475,83.53,72,3,0.67,CN,1695257200
55,luwuk,-0.9516,122.7875,82.98,68,85,6.26,ID,1695257200
56,bilibino,68.0546,166.4372,38.61,71,100,2.84,RU,1695257204
57,aioun,16.6614,-9.6149,89.56,41,87,7.96,MR,1695257207
58,invercargill,-46.4,168.35,49.01,96,100,7.0,NZ,1695257142
59,forster,-32.1667,152.5167,75.38,58,24,16.67,AU,1695257208
60,east london,-33.0153,27.9116,59.9,79,9,11.1,ZA,1695257208
61,upington,-28.4478,21.2561,53.98,28,0,2.3,ZA,1695257208
62,turkmenbasy,40.0222,52.9552,65.17,39,0,16.11,TM,1695257208
63,lazaro cardenas,17.9583,-102.2,81.81,79,1,3.24,MX,1695257169
64,domnesti,45.2,24.8333,58.66,88,61,4.07,RO,1695257208
65,saint-philippe,-21.3585,55.7679,69.39,85,36,10.94,RE,1695257209
66,carnarvon,-24.8667,113.6333,71.65,63,2,13.33,AU,1695257209
67,mandal,25.45,74.5667,75.0,92,44,5.79,IN,1695257209
68,blackmans bay,-43.0167,147.3167,51.93,63,74,9.4,AU,1695257209
69,belmonte,-15.8631,-38.8828,72.64,78,1,5.64,BR,1695257209
70,srikakulam,18.3,83.9,78.42,83,100,6.06,IN,1695257209
71,viedma,-40.8135,-62.9967,50.72,88,100,16.35,AR,1695257209
72,hampton bays,40.869,-72.5176,69.85,86,0,0.0,US,1695257210
73,illizi,26.4833,8.4667,82.2,18,5,11.54,DZ,1695257210
74,villa la angostura,-40.7617,-71.6463,37.74,99,100,4.34,AR,1695257210
75,nemuro,43.3236,145.575,59.5,64,100,12.28,JP,1695257077
76,harper,4.375,-7.7169,77.22,90,65,7.34,LR,1695257210
